Country,PIN,City,State,State_ID,District,District_ID,Community,Lat,Lng,Loc_accuracy,District_1
IN,621704,Vilangudi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1197,79.1987,4,Ariyalur
IN,621704,Hasthinapuram,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1269,79.1346,3,Ariyalur
IN,621704,Telur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1257,79.1827,4,Ariyalur
IN,621704,Varanavasi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.088,79.0784,4,Ariyalur
IN,621704,Thavuthaikulam,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1269,79.1346,3,Ariyalur
IN,621704,Periyavenmani,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1605,79.2442,4,Ariyalur
IN,621704,Ariyalur Bazaar,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1269,79.1346,3,Ariyalur
IN,621704,Reddipalayam,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1269,79.1346,3,Ariyalur
IN,621704,Periyanagalur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1269,79.1346,3,Ariyalur
IN,621704,Inamattur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1269,79.1346,3,Ariyalur
IN,621704,Valajanagaram,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1269,79.1346,3,Ariyalur
IN,621704,Ariyalur (Ariyalur),Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1269,79.1346,3,Ariyalur
IN,621705,Tamaraikulam,Tamil Nadu,25,Ariyalur,616,Ariyalur,10.8373,78.9566,3,Ariyalur
IN,621705,Srinivasapuram,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1625,79.1188,4,Ariyalur
IN,621705,Kallankurichi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1513,79.1189,4,Ariyalur
IN,621705,Manakudi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1605,79.2442,4,Ariyalur
IN,621705,Kadugur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1677,79.1484,4,Ariyalur
IN,621705,Ayanathur,Tamil Nadu,25,Ariyalur,616,Ariyalur,10.8373,78.9566,3,Ariyalur
IN,621705,Lingathadimedu,Tamil Nadu,25,Ariyalur,616,Ariyalur,10.8373,78.9566,3,Ariyalur
IN,621705,O Koothur,Tamil Nadu,25,Ariyalur,616,Ariyalur,10.8373,78.9566,3,Ariyalur
IN,621705,Ottakoil,Tamil Nadu,25,Ariyalur,616,Ariyalur,10.8373,78.9566,3,Ariyalur
IN,621707,Kilaiyur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.042,79.0408,4,Ariyalur
IN,621707,Vettiyur,Tamil Nadu,25,Ariyalur,616,Ariyalur,10.9874,79.0938,4,Ariyalur
IN,621707,Arungal,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0172,79.1105,4,Ariyalur
IN,621707,Karuppilakattalai,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0155,79.0817,3,Ariyalur
IN,621707,Karuppur Senapathy,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0155,79.0817,3,Ariyalur
IN,621707,Kilapaluvur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0155,79.0817,3,Ariyalur
IN,621707,Malathankulam,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0155,79.0817,3,Ariyalur
IN,621707,Edayathangudi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0155,79.0817,3,Ariyalur
IN,621707,Suthamalli,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0155,79.0817,3,Ariyalur
IN,621709,Anganur,Tamil Nadu,25,Ariyalur,616,Sendurai,11.357,79.1606,4,Ariyalur
IN,621709,Mathur (Ariyalur),Tamil Nadu,25,Ariyalur,616,Sendurai,11.357,79.1606,3,Ariyalur
IN,621709,Ayantattanur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.357,79.1606,3,Ariyalur
IN,621709,Manapathur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.357,79.1606,3,Ariyalur
IN,621709,Solankudikadu,Tamil Nadu,25,Ariyalur,616,Sendurai,11.357,79.1606,3,Ariyalur
IN,621710,Ponparappi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2698,79.2397,4,Ariyalur
IN,621710,Kuvagam,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2855,79.2858,4,Ariyalur
IN,621710,Sedankudikadu,Tamil Nadu,25,Ariyalur,616,Sendurai,11.2117,79.3399,3,Ariyalur
IN,621710,Maruvathur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1605,79.2442,4,Ariyalur
IN,621710,Vallam,Tamil Nadu,25,Ariyalur,616,Sendurai,11.2989,79.3022,4,Ariyalur
